,County,Year,GDP (thousands),Average Monthly ZHVI,Estimated ZHVI,ZHVI Residual
11125,"Fulton, IN",2007,558212,96855.08333333333,1601694.1339569949,96855.08333333333
11126,"Fulton, IN",2008,572266,96202.5,1537899.5961308982,96202.5
11127,"Fulton, IN",2009,489447,74579.5,-574451.8539086487,74579.5
11128,"Fulton, IN",2010,568010,69978.93055555556,-1023944.4550386071,69978.93055555556
11129,"Fulton, IN",2011,580579,69482.44444444444,-1072498.6438587746,69482.44444444444
11130,"Fulton, IN",2012,612349,69504.15277777778,-1070349.3638707586,69504.15277777778
11131,"Fulton, IN",2013,643176,69914.84722222222,-1030196.9059128342,69914.84722222222
11132,"Fulton, IN",2014,624756,70854.47222222222,-938461.7282425379,70854.47222222222
11133,"Fulton, IN",2015,583617,72579.33333333333,-769938.6382731451,72579.33333333333
11134,"Fulton, IN",2016,625772,74776.5,-555303.7231063293,74776.5
11135,"Fulton, IN",2017,673673,76949.29166666667,-343013.47701734863,76949.29166666667
11136,"Fulton, IN",2018,719147,81688.52777777778,120058.66585507058,81688.52777777778
11137,"Fulton, IN",2019,736400,84878.125,431606.56957240123,84878.125
11138,"Gibson, IN",2002,1677966,157198.88888888888,7496973.751993552,157198.88888888888
11139,"Gibson, IN",2003,2041594,161687.91666666666,7935524.564093614,161687.91666666666
11140,"Gibson, IN",2004,2005268,154670.5,7249904.247916685,154670.5
11141,"Gibson, IN",2005,2153175,154307.58333333334,7214538.822659342,154307.58333333334
11142,"Gibson, IN",2006,2428023,157311.25,7507915.54102345,157311.25
11143,"Gibson, IN",2007,2604063,159443.75,7716298.005316038,159443.75
11144,"Gibson, IN",2008,2291022,153251.66666666666,7111373.3832346,153251.66666666666
11145,"Gibson, IN",2009,2091450,148453.91666666666,6642634.956757411,148453.91666666666
11146,"Gibson, IN",2010,2532917,147657.91666666666,6564870.099009216,147657.91666666666
11147,"Gibson, IN",2011,2489936,148000.75,6598379.327913275,148000.75
11148,"Gibson, IN",2012,2572318,83753.45370370371,321700.2065488836,83753.45370370371
11149,"Gibson, IN",2013,2813147,81006.85833333334,53430.98622659221,81006.85833333334
11150,"Gibson, IN",2014,2857722,83982.89166666666,344169.951878136,83982.89166666666
11151,"Gibson, IN",2015,2869283,87261.68333333333,664510.3646373488,87261.68333333333
11152,"Gibson, IN",2016,3226156,91102.06666666667,1039657.4170909543,91102.06666666667
11153,"Gibson, IN",2017,3741856,93684.26666666666,1291904.7320480403,93684.26666666666
11154,"Gibson, IN",2018,3732466,100186.73333333334,1927212.3575964253,100186.73333333334
11155,"Gibson, IN",2019,3686173,106898.61666666667,2582938.1430309564,106898.61666666667
11156,"Grant, IN",2002,1854473,78351.96124031008,-205948.03050890937,78351.96124031008
11157,"Grant, IN",2003,1947534,78904.88636363637,-151922.9471737938,78904.88636363637
11158,"Grant, IN",2004,1915227,78412.14393939394,-200086.3578143213,78412.14393939394
11159,"Grant, IN",2005,1907731,81114.81060606061,63981.99707684945,81114.81060606061
11160,"Grant, IN",2006,2068942,86948.66666666667,633931.9720805828,86948.66666666667
11161,"Grant, IN",2007,2075213,90439.47727272728,974885.9338157605,90439.47727272728
11162,"Grant, IN",2008,2114418,79831.18181818182,-61457.79858732503,79831.18181818182
11163,"Grant, IN",2009,2028744,77961.21212121213,-244146.5975686377,77961.21212121213
11164,"Grant, IN",2010,2368371,76117.93939393939,-424197.64383738674,76117.93939393939
11165,"Grant, IN",2011,2402063,74690.53787878787,-563607.759423662,74690.53787878787
11166,"Grant, IN",2012,2495689,74184.25757575757,-613138.8936929265,74184.25757575757
11167,"Grant, IN",2013,2469672,73861.5303030303,-644596.5371538801,73861.5303030303
11168,"Grant, IN",2014,3471406,75378.56818181818,-496393.9125257237,75378.56818181818
11169,"Grant, IN",2015,3463831,77327.85606060606,-305987.2444965374,77327.85606060606
11170,"Grant, IN",2016,3228041,78219.41666666667,-218941.40498191118,78219.41666666667
11171,"Grant, IN",2017,2425750,81663.35606060606,117518.60768741649,81663.35606060606
11172,"Grant, IN",2018,2540116,86686.2196969697,608238.3067693077,86686.2196969697
11173,"Grant, IN",2019,2611525,91581.06060606061,1086453.1041027457,91581.06060606061
11174,"Greene, IN",2009,571715,96560.7,1572971.9377535153,96560.7
11175,"Greene, IN",2010,559577,93235.54166666667,1248137.5759284534,93235.54166666667
11176,"Greene, IN",2011,560574,81693.77142857143,120547.13857962005,81693.77142857143
11177,"Greene, IN",2012,567044,79628.0,-81289.79120401293,79628.0
11178,"Greene, IN",2013,578724,74787.8425925926,-554131.3885674123,74787.8425925926
11179,"Greene, IN",2014,607802,76113.42592592593,-424686.1165619362,76113.42592592593
11180,"Greene, IN",2015,612773,78768.26851851853,-165307.09982643463,78768.26851851853
11181,"Greene, IN",2016,617594,81298.02777777778,81860.09879534133,81298.02777777778
11182,"Greene, IN",2017,648054,84603.37037037036,404740.5697222082,84603.37037037036
11183,"Greene, IN",2018,671485,89355.12037037036,868985.0471335445,89355.12037037036
11184,"Greene, IN",2019,710148,93321.46296296296,1256441.612245785,93321.46296296296
11185,"Hamilton, IN",2001,7025090,141307.83333333334,5944509.73883203,141307.83333333334
11186,"Hamilton, IN",2002,7266681,141965.33333333334,6008695.054837763,141965.33333333334
11187,"Hamilton, IN",2003,8153448,218692.2530120482,13504504.402131462,218692.2530120482
11188,"Hamilton, IN",2004,8884899,221213.39102564103,13750792.34984905,221213.39102564103
11189,"Hamilton, IN",2005,9672278,228023.12820512822,14416092.200684743,228023.12820512822
11190,"Hamilton, IN",2006,10129561,232495.23076923078,14852982.20552134,232495.23076923078
11191,"Hamilton, IN",2007,11018502,236632.45512820513,15257144.537813155,236632.45512820513
11192,"Hamilton, IN",2008,10883215,234031.87179487178,15003138.72104769,234031.87179487178
11193,"Hamilton, IN",2009,10768633,225586.96153846153,14178108.289284488,225586.96153846153
11194,"Hamilton, IN",2010,11452590,223480.13461538462,13972265.883159554,223480.13461538462
11195,"Hamilton, IN",2011,11672349,218373.95512820513,13473437.536850149,218373.95512820513
11196,"Hamilton, IN",2012,12493624,217819.7628205128,13419314.758970125,217819.7628205128
11197,"Hamilton, IN",2013,13183666,226181.94871794872,14236236.543505816,226181.94871794872
11198,"Hamilton, IN",2014,14925894,237148.0576923077,15307554.922986606,237148.0576923077
11199,"Hamilton, IN",2015,16033946,244609.62179487178,16036551.617103482,244609.62179487178
11200,"Hamilton, IN",2016,16916284,251611.58333333334,16720608.820561854,251611.58333333334
11201,"Hamilton, IN",2017,17692803,262594.3076923077,17793490.312761202,262594.3076923077
11202,"Hamilton, IN",2018,18813019,275484.358974359,19052772.99664844,275484.358974359
11203,"Hamilton, IN",2019,19470291,285884.24358974356,20068796.263710283,285884.24358974356
11204,"Hancock, IN",2003,1328784,197182.42857142858,11403094.741121812,197182.42857142858
11205,"Hancock, IN",2004,1423287,200181.16666666666,11696080.681306282,200181.16666666666
11206,"Hancock, IN",2005,1483755,170358.0625,8782536.268461522,170358.0625
11207,"Hancock, IN",2006,1634899,161509.23333333334,7918037.240554761,161509.23333333334
11208,"Hancock, IN",2007,1663329,163267.41666666666,8089784.250506178,163267.41666666666
11209,"Hancock, IN",2008,1703229,165135.41666666666,8272277.660397671,165135.41666666666
11210,"Hancock, IN",2009,1597367,162449.71666666667,8009967.8073148765,162449.71666666667
11211,"Hancock, IN",2010,1703579,158724.3,7645957.932980988,158724.3
11212,"Hancock, IN",2011,1778158,155883.56666666668,7368505.425437175,155883.56666666668
11213,"Hancock, IN",2012,1882888,155669.13333333333,7347501.09828157,155669.13333333333
11214,"Hancock, IN",2013,2025976,157540.43333333332,7530287.591807792,157540.43333333332
11215,"Hancock, IN",2014,2047766,161888.7,7955161.167620482,161888.7
11216,"Hancock, IN",2015,2116962,165937.95,8350726.379960235,165937.95
11217,"Hancock, IN",2016,2281621,173002.61666666667,9040938.339747922,173002.61666666667
11218,"Hancock, IN",2017,2685615,184094.75,10124566.23188735,184094.75
11219,"Hancock, IN",2018,2885110,196235.73333333334,11310675.701637147,196235.73333333334
11220,"Hancock, IN",2019,3173416,205682.6,12233596.067399966,205682.6
11221,"Harrison, IN",2009,838287,116447.62295081967,3515823.3523745723,116447.62295081967
11222,"Harrison, IN",2010,861833,114672.48611111111,3342317.840614779,114672.48611111111
11223,"Harrison, IN",2011,863399,112896.14583333333,3168812.3288549855,112896.14583333333
11224,"Harrison, IN",2012,894215,111718.38888888889,3053728.15495125,111718.38888888889
11225,"Harrison, IN",2013,888961,111973.36111111111,3078640.263903247,111973.36111111111
11226,"Harrison, IN",2014,927251,112948.11111111111,3173892.4451902956,112948.11111111111
11227,"Harrison, IN",2015,964133,116643.9375,3534971.4831768908,116643.9375
11228,"Harrison, IN",2016,1001753,120996.86111111111,3960235.8371692207,120996.86111111111
11229,"Harrison, IN",2017,1069236,127966.26388888889,4641069.12064557,127966.26388888889
11230,"Harrison, IN",2018,1122419,137941.54166666666,5615669.900665665,137941.54166666666
11231,"Harrison, IN",2019,1153763,146789.41666666666,6479973.539482607,146789.41666666666
11232,"Hendricks, IN",2004,2832222,151023.75,6893709.937175579,151023.75
11233,"Hendricks, IN",2005,3019892,153734.89166666666,7158559.848426029,153734.89166666666
11234,"Hendricks, IN",2006,3332575,155452.64166666666,7326399.076581053,155452.64166666666
11235,"Hendricks, IN",2007,3424289,158471.66666666666,7621338.90766372,158471.66666666666
11236,"Hendricks, IN",2008,3645506,158644.24166666667,7638142.369388204,158644.24166666667
11237,"Hendricks, IN",2009,3676145,156423.20833333334,7421162.785143552,156423.20833333334
11238,"Hendricks, IN",2010,3772316,151881.05,6977434.1621632725,151881.05
11239,"Hendricks, IN",2011,3998587,147645.85833333334,6563697.764470298,147645.85833333334
11240,"Hendricks, IN",2012,4347124,148837.79166666666,6680149.662002772,148837.79166666666
11241,"Hendricks, IN",2013,4628105,151999.775,6989059.813007537,151999.775
11242,"Hendricks, IN",2014,4769619,160208.66666666666,7791034.332172031,160208.66666666666
11243,"Hendricks, IN",2015,5259416,162906.85833333334,8054614.214338653,162906.85833333334
11244,"Hendricks, IN",2016,5581870,169840.25833333333,8731930.494198248,169840.25833333333
11245,"Hendricks, IN",2017,6090132,177873.725,9516808.468003528,177873.725
11246,"Hendricks, IN",2018,6540769,189979.66666666666,10699498.628681483,189979.66666666666
11247,"Hendricks, IN",2019,6842523,203291.775,12000008.410520649,203291.775
11248,"Henry, IN",2005,983558,109295.4,2817014.272634821,109295.4
11249,"Henry, IN",2006,1040454,110656.66666666667,2950074.2428019587,110656.66666666667
11250,"Henry, IN",2007,1080540,110153.75,2900933.886712333,110153.75
11251,"Henry, IN",2008,1078027,109117.33333333333,2799624.6436408777,109117.33333333333
11252,"Henry, IN",2009,942208,90549.08982035928,985632.3337558378,90549.08982035928
11253,"Henry, IN",2010,1046893,85933.78888888888,534772.0089971423,85933.78888888888
11254,"Henry, IN",2011,1042070,83955.07777777778,341434.50462066196,83955.07777777778
11255,"Henry, IN",2012,1003581,81750.42222222222,126018.03309456818,81750.42222222222
11256,"Henry, IN",2013,1119828,80763.63888888889,29691.21181351226,80763.63888888889
11257,"Henry, IN",2014,1140967,81599.75,111363.85135809891,81599.75
11258,"Henry, IN",2015,1147296,83676.0,314177.7265908299,83676.0
11259,"Henry, IN",2016,1153027,85122.48333333334,455444.0385303907,85122.48333333334
11260,"Henry, IN",2017,1303956,88478.57222222222,783404.6257925667,88478.57222222222
11261,"Henry, IN",2018,1382576,94185.55555555556,1340947.3935927562,94185.55555555556
11262,"Henry, IN",2019,1425433,99988.00555555556,1907771.1431593765,99988.00555555556
11263,"Howard, IN",2001,3526958,114019.5,3278620.9973335937,114019.5
11264,"Howard, IN",2002,3908491,113041.5,3183075.7324118167,113041.5
11265,"Howard, IN",2003,4497673,115784.08333333333,3450954.174554469,115784.08333333333
11266,"Howard, IN",2004,4200083,122120.58333333333,4070044.505647829,122120.58333333333
11267,"Howard, IN",2005,3993102,120848.83333333333,3945777.0445225704,120848.83333333333
11268,"Howard, IN",2006,4027383,121018.5,3962287.422612326,121018.5
11269,"Howard, IN",2007,4214556,120516.25,3913244.7610676102,120516.25
11270,"Howard, IN",2008,3700119,127508.83333333333,4596422.713621793,127508.83333333333
11271,"Howard, IN",2009,2624539,106434.72619047618,2537607.8741928115,106434.72619047618
11272,"Howard, IN",2010,4086078,103240.88095238095,2225571.4977509324,103240.88095238095
11273,"Howard, IN",2011,4107932,97065.17857142857,1622209.9883880503,97065.17857142857
11274,"Howard, IN",2012,4432599,96642.22619047618,1580885.195891207,96642.22619047618
11275,"Howard, IN",2013,4551234,96127.23809523809,1530572.5052626636,96127.23809523809
11276,"Howard, IN",2014,4514966,97857.69047619047,1699681.7625015173,97857.69047619047
11277,"Howard, IN",2015,4434122,109779.53571428571,2864396.1269160714,109779.53571428571
11278,"Howard, IN",2016,4372532,114422.39285714286,3317894.2043873314,114422.39285714286
11279,"Howard, IN",2017,4290722,120204.09523809524,3882764.0630557537,120204.09523809524
11280,"Howard, IN",2018,4364455,127711.89285714286,4616254.706238482,127711.89285714286
11281,"Howard, IN",2019,4472655,138309.85714285713,5651621.49319247,138309.85714285713
11282,"Huntington, IN",2003,977382,132634.5,5097107.256284483,132634.5
11283,"Huntington, IN",2004,1052395,134847.41666666666,5313305.284169856,134847.41666666666
11284,"Huntington, IN",2005,1084705,140588.16666666666,5874169.666496979,140588.16666666666
11285,"Huntington, IN",2006,1159245,141978.29166666666,6009965.083921591,141978.29166666666
11286,"Huntington, IN",2007,1186206,143682.5,6176436.588447878,143682.5
11287,"Huntington, IN",2008,1179737,144722.95833333334,6278136.609698974,144722.95833333334
11288,"Huntington, IN",2009,1101917,114293.59649122808,3305389.302638877,114293.59649122808
11289,"Huntington, IN",2010,1152671,110994.11666666667,2982997.304436559,110994.11666666667
11290,"Huntington, IN",2011,1190398,109391.88333333333,2826490.6434910707,109391.88333333333
11291,"Huntington, IN",2012,1240220,108955.61666666667,2783895.821910402,108955.61666666667
11292,"Huntington, IN",2013,1318837,110465.03333333334,2931316.8901792783,110465.03333333334
11293,"Huntington, IN",2014,1380025,112254.86666666667,3106190.1255678087,112254.86666666667
11294,"Huntington, IN",2015,1433360,116892.83333333333,3559297.424859429,116892.83333333333
11295,"Huntington, IN",2016,1398188,121765.78333333334,4035362.9422048517,121765.78333333334
11296,"Huntington, IN",2017,1438393,130329.38333333333,4871921.330267411,130329.38333333333
11297,"Huntington, IN",2018,1494905,138564.86666666667,5676533.602144467,138564.86666666667
11298,"Huntington, IN",2019,1521034,146846.05,6485542.128542464,146846.05
11299,"Jackson, IN",2001,1247081,101597.16666666667,2064961.665919233,101597.16666666667
11300,"Jackson, IN",2002,1329698,104182.88888888889,2317599.759055959,104182.88888888889
11301,"Jackson, IN",2003,1449871,108621.80555555556,2751265.84391053,108621.80555555556
11302,"Jackson, IN",2004,1539594,110859.38888888889,2969808.540873738,110859.38888888889
11303,"Jackson, IN",2005,1526454,109047.22222222222,2792786.0254971925,109047.22222222222
11304,"Jackson, IN",2006,1630685,107357.02777777778,2627682.244599642,107357.02777777778
11305,"Jackson, IN",2007,1656796,107015.16666666667,2594270.7102404926,107015.16666666667
11306,"Jackson, IN",2008,1681631,103386.21428571429,2239737.206762854,103386.21428571429
11307,"Jackson, IN",2009,1458231,101244.85416666667,2030573.1861109864,101244.85416666667
11308,"Jackson, IN",2010,1728908,98726.3125,1784480.627483217,98726.3125
11309,"Jackson, IN",2011,1772974,97534.3125,1668028.7299507428,97534.3125
11310,"Jackson, IN",2012,1861537,97847.01041666667,1698607.1225075088,97847.01041666667
11311,"Jackson, IN",2013,1881051,99439.78125,1854234.5325488094,99439.78125
11312,"Jackson, IN",2014,1929269,102196.38541666667,2123480.698320199,102196.38541666667
11313,"Jackson, IN",2015,2157599,106516.61458333333,2545618.8268754147,106516.61458333333
11314,"Jackson, IN",2016,2162943,109997.54166666667,2885693.537706405,109997.54166666667
11315,"Jackson, IN",2017,2262985,113228.78125,3201344.6123099476,113228.78125
11316,"Jackson, IN",2018,2394700,120228.58333333333,3885206.426678499,120228.58333333333
11317,"Jackson, IN",2019,2517563,128114.42708333333,4655527.913292218,128114.42708333333
11318,"Jasper, IN",2001,904991,75914.08333333333,-444127.3309989851,75914.08333333333
11319,"Jasper, IN",2002,901705,78063.16666666667,-234181.75398783945,78063.16666666667
11320,"Jasper, IN",2003,968710,80418.75,-4013.4061803668737,80418.75
11321,"Jasper, IN",2004,1058758,96231.11111111111,1540732.7379332837,96231.11111111111
11322,"Jasper, IN",2005,1140230,105400.25,2436494.020211177,105400.25
11323,"Jasper, IN",2006,1251897,108896.73333333334,2778131.8437607232,108896.73333333334
11324,"Jasper, IN",2007,1338925,116495.73529411765,3520512.6905302424,116495.73529411765
11325,"Jasper, IN",2008,1329739,118689.81944444444,3734854.5220623277,118689.81944444444
11326,"Jasper, IN",2009,1192331,115202.29166666667,3394095.949416969,115202.29166666667
11327,"Jasper, IN",2010,1325456,112725.68055555556,3152204.256220322,112725.68055555556
11328,"Jasper, IN",2011,1321883,122350.22222222222,4092416.556432171,122350.22222222222
11329,"Jasper, IN",2012,1310958,131962.94444444444,5031554.216650013,131962.94444444444
11330,"Jasper, IN",2013,1527342,135746.79166666666,5401230.37458867,135746.79166666666
11331,"Jasper, IN",2014,1595446,137251.72222222222,5548260.664677909,137251.72222222222
11332,"Jasper, IN",2015,1451298,139360.88888888888,5754298.459892662,139360.88888888888
11333,"Jasper, IN",2016,1442105,143296.76388888888,6138824.188657608,143296.76388888888
11334,"Jasper, IN",2017,1525048,148346.36111111112,6632083.945907153,148346.36111111112
11335,"Jasper, IN",2018,1587141,155778.80555555556,7358247.498221647,155778.80555555556
11336,"Jasper, IN",2019,1615972,163926.59722222222,8154262.650146641,163926.59722222222
11337,"Jay, IN",2009,594751,47552.46153846154,-3214940.013730538,47552.46153846154
11338,"Jay, IN",2010,708619,49044.583333333336,-3069082.0581802176,49044.583333333336
11339,"Jay, IN",2011,765606,49009.82142857143,-3072501.36725206,49009.82142857143
11340,"Jay, IN",2012,831375,54146.63888888889,-2570644.4900504528,54146.63888888889
11341,"Jay, IN",2013,832378,54632.97222222222,-2523164.941224293,54632.97222222222
11342,"Jay, IN",2014,915977,56281.930555555555,-2362066.636668044,56281.930555555555
11343,"Jay, IN",2015,1064726,58549.63888888889,-2140495.4088126337,58549.63888888889
11344,"Jay, IN",2016,853260,65151.819444444445,-1495516.023318179,65151.819444444445
11345,"Jay, IN",2017,953000,67326.79166666667,-1283030.3881393783,67326.79166666667
11346,"Jay, IN",2018,996585,73836.48611111111,-647136.5953215351,73836.48611111111
11347,"Jay, IN",2019,954236,78594.68055555556,-182208.25609582942,78594.68055555556
11348,"Jefferson, IN",2001,927258,80924.38888888889,45322.33899907861,80924.38888888889
11349,"Jefferson, IN",2002,954414,82539.54166666667,203196.7235733047,82539.54166666667
11350,"Jefferson, IN",2003,1010253,82645.95833333333,213552.3453337429,82645.95833333333
11351,"Jefferson, IN",2004,1104488,83889.0,334986.6646566158,83889.0
11352,"Jefferson, IN",2005,1114254,88933.45833333333,827757.9491816126,88933.45833333333
11353,"Jefferson, IN",2006,1184330,94579.0,1379341.3497423045,94579.0
11354,"Jefferson, IN",2007,1164255,94587.29166666667,1380122.9061015826,94587.29166666667
11355,"Jefferson, IN",2008,1203462,90858.75,1015917.6426778734,90858.75
11356,"Jefferson, IN",2009,1142664,90474.51515151515,978402.9374325126,90474.51515151515
11357,"Jefferson, IN",2010,1318811,87353.36111111111,673400.5682241395,87353.36111111111
11358,"Jefferson, IN",2011,1330775,86508.16666666667,590848.6777753644,86508.16666666667
11359,"Jefferson, IN",2012,1322775,86372.55,577659.9142125417,86372.55
11360,"Jefferson, IN",2013,1355823,87253.6,663728.8082780689,87253.6
11361,"Jefferson, IN",2014,1380383,91235.48333333334,1052650.791563956,91235.48333333334
11362,"Jefferson, IN",2015,1387401,98504.9,1762890.133058153,98504.9
11363,"Jefferson, IN",2016,1411111,103059.88333333333,2207888.7851222605,103059.88333333333
11364,"Jefferson, IN",2017,1483709,110233.11666666667,2908651.755760208,110233.11666666667
11365,"Jefferson, IN",2018,1528006,120565.56666666667,3918129.4883130994,120565.56666666667
11366,"Jefferson, IN",2019,1586741,128611.01666666666,4704082.102112386,128611.01666666666
11367,"Jennings, IN",2001,470520,87530.81132075471,690790.1972180828,87530.81132075471
11368,"Jennings, IN",2002,494838,88488.91666666667,784381.5712416638,88488.91666666667
11369,"Jennings, IN",2003,514204,89336.38888888889,867128.8507802598,89336.38888888889
11370,"Jennings, IN",2004,555569,91354.70833333333,1064374.1369531322,91354.70833333333
11371,"Jennings, IN",2005,555709,95453.375,1464726.3819934633,95453.375
11372,"Jennings, IN",2006,594561,98660.11111111111,1778032.78751917,98660.11111111111
11373,"Jennings, IN",2007,615812,99259.0,1836551.8199201375,99259.0
11374,"Jennings, IN",2008,597932,99142.18055555556,1825121.5581656918,99142.18055555556
11375,"Jennings, IN",2009,536526,97735.15277777778,1687665.3334776126,97735.15277777778
11376,"Jennings, IN",2010,610612,95738.875,1492667.0218376648,95738.875
11377,"Jennings, IN",2011,590121,93554.375,1279204.441209767,93554.375
11378,"Jennings, IN",2012,602464,93900.625,1313104.4482934643,93900.625
11379,"Jennings, IN",2013,612160,95178.04166666667,1437860.3821432702,95178.04166666667
11380,"Jennings, IN",2014,618552,97206.25,1635984.919220332,97206.25
11381,"Jennings, IN",2015,636116,100876.23611111111,1994523.8990392722,100876.23611111111
11382,"Jennings, IN",2016,640931,103003.52777777778,2202417.8906073123,103003.52777777778
11383,"Jennings, IN",2017,689556,107553.125,2646830.3754019607,107553.125
11384,"Jennings, IN",2018,727060,114153.36111111111,3291614.3718065955,114153.36111111111
11385,"Jennings, IN",2019,766731,120017.13888888889,3864495.183157623,120017.13888888889
11386,"Johnson, IN",2001,2388386,128111.66666666667,4655332.524202399,128111.66666666667
11387,"Johnson, IN",2002,2528643,128294.41666666667,4673112.93137598,128294.41666666667
11388,"Johnson, IN",2003,2676348,123801.41666666667,4234171.34109628,123801.41666666667
11389,"Johnson, IN",2004,2772449,116972.91666666667,3567112.988452213,116972.91666666667
11390,"Johnson, IN",2005,2928925,151999.51666666666,6989059.813007537,151999.51666666666
11391,"Johnson, IN",2006,3159544,153854.87962962964,7170283.193815205,153854.87962962964
11392,"Johnson, IN",2007,3183470,156665.40740740742,7444804.865011724,156665.40740740742
11393,"Johnson, IN",2008,3181893,155274.7037037037,7309009.44758711,155274.7037037037
11394,"Johnson, IN",2009,3085292,151679.38888888888,6957699.864091495,151679.38888888888
11395,"Johnson, IN",2010,3234786,148647.77777777778,6661587.698469911,148647.77777777778
11396,"Johnson, IN",2011,3386014,143404.44444444444,6149277.5049629565,143404.44444444444
11397,"Johnson, IN",2012,3715086,145505.64814814815,6354631.438363342,145505.64814814815
11398,"Johnson, IN",2013,3991634,147148.61111111112,6515143.575650131,147148.61111111112
11399,"Johnson, IN",2014,4398960,153028.38888888888,7089489.805174805,153028.38888888888
11400,"Johnson, IN",2015,4866791,161222.12962962964,7889998.90616565,161222.12962962964
11401,"Johnson, IN",2016,4979917,165432.88888888888,8301390.634780789,165432.88888888888
11402,"Johnson, IN",2017,4905432,175027.41666666666,9238672.098645346,175027.41666666666
11403,"Johnson, IN",2018,5353295,186955.13888888888,10403972.630329357,186955.13888888888
11404,"Johnson, IN",2019,5591747,199556.75,11635119.285282573,199556.75
11405,"Knox, IN",2012,1523117,58331.458333333336,-2161890.5141478777,58331.458333333336
11406,"Knox, IN",2013,1724195,60411.72222222222,-1958588.1661905982,60411.72222222222
11407,"Knox, IN",2014,1803028,62890.57638888889,-1716403.3893592209,62890.57638888889
11408,"Knox, IN",2015,1792335,65778.65972222222,-1434261.5436597383,65778.65972222222
11409,"Knox, IN",2016,1851859,68464.04166666667,-1171951.6905769436,68464.04166666667
11410,"Knox, IN",2017,1942250,71005.79166666667,-923612.1574162496,71005.79166666667
11411,"Knox, IN",2018,1974957,74954.65277777778,-537816.3995674765,74954.65277777778
11412,"Knox, IN",2019,2019473,79638.78472222222,-80215.1512100054,79638.78472222222
11413,"Kosciusko, IN",2001,3369985,112419.92222222222,3122309.7254779246,112419.92222222222
11414,"Kosciusko, IN",2002,3683092,119910.58333333333,3854139.5613971855,119910.58333333333
11415,"Kosciusko, IN",2003,3888700,125335.52222222222,4384132.467532814,125335.52222222222
11416,"Kosciusko, IN",2004,4257113,130923.73888888888,4930049.584488736,130923.73888888888
11417,"Kosciusko, IN",2005,4666639,133838.4388888889,5214731.488355875,133838.4388888889
11418,"Kosciusko, IN",2006,4302260,138705.14444444445,5690210.838431837,138705.14444444445
11419,"Kosciusko, IN",2007,4305071,138391.43333333332,5659534.751330163,138391.43333333332
11420,"Kosciusko, IN",2008,4155277,132380.40555555557,5072292.841877395,132380.40555555557
11421,"Kosciusko, IN",2009,4479235,129480.92222222222,4789076.356183905,129480.92222222222
11422,"Kosciusko, IN",2010,5074583,127085.00555555556,4555000.2265800405,127085.00555555556
11423,"Kosciusko, IN",2011,5002674,125759.6888888889,4425554.9545745645,125759.6888888889
11424,"Kosciusko, IN",2012,4470830,125779.83888888889,4427508.8454727605,125779.83888888889
11425,"Kosciusko, IN",2013,4210695,131911.97777777776,5026571.794859612,131911.97777777776
11426,"Kosciusko, IN",2014,4768383,128522.00555555556,4695387.287615415,128522.00555555556
11427,"Kosciusko, IN",2015,5038169,136460.4611111111,5470886.585109353,136460.4611111111
11428,"Kosciusko, IN",2016,4698196,139533.22222222222,5771101.921617147,139533.22222222222
11429,"Kosciusko, IN",2017,4814076,147399.98333333334,6539664.90642249,147399.98333333334
11430,"Kosciusko, IN",2018,5060156,156211.65555555557,7400549.236167587,156211.65555555557
11431,"Kosciusko, IN",2019,5180547,163693.06666666668,8131402.126637749,163693.06666666668
11432,"Lagrange, IN",2008,942405,147426.66666666666,6542302.659135055,147426.66666666666
11433,"Lagrange, IN",2009,772328,144974.73076923078,6302755.63501624,144974.73076923078
11434,"Lagrange, IN",2010,979551,141876.52777777778,6000097.934885701,141876.52777777778
11435,"Lagrange, IN",2011,1021049,141972.80555555556,6009476.611197041,141972.80555555556
11436,"Lagrange, IN",2012,1121630,141437.44444444444,5957112.335125392,141437.44444444444
11437,"Lagrange, IN",2013,1247494,143352.09722222222,6144197.3886276465,143352.09722222222
11438,"Lagrange, IN",2014,1417204,137180.60240963855,5541324.351989314,137180.60240963855
11439,"Lagrange, IN",2015,1579409,132083.16666666666,5043277.562039187,132083.16666666666
11440,"Lagrange, IN",2016,1633498,135476.01041666666,5374755.152918115,135476.01041666666
11441,"Lagrange, IN",2017,1875023,141114.96875,5925654.691664439,141114.96875
11442,"Lagrange, IN",2018,1960093,151293.27083333334,6919989.769756313,151293.27083333334
11443,"Lagrange, IN",2019,1943745,161100.98958333334,7878177.866231566,161100.98958333334
11444,"Lake, IN",2003,14489969,121071.58441558441,3967562.9280374553,121071.58441558441
11445,"Lake, IN",2004,15513469,118507.70588235294,3717074.1148887444,118507.70588235294
11446,"Lake, IN",2005,16203885,123095.97841726619,4165296.686934877,123095.97841726619
11447,"Lake, IN",2006,17174084,126116.35,4460334.212562451,126116.35
11448,"Lake, IN",2007,19842406,131320.81,4968834.318817925,131320.81
11449,"Lake, IN",2008,19498873,133363.24333333335,5168326.579523724,133363.24333333335
11450,"Lake, IN",2009,17592352,128625.17628205128,4705449.825741123,128625.17628205128
11451,"Lake, IN",2010,18405279,125094.66346153847,4360588.082209554,125094.66346153847
11452,"Lake, IN",2011,20580829,120280.77564102564,3890286.5430138092,120280.77564102564
11453,"Lake, IN",2012,22630601,115588.13924050632,3431806.0437521487,115588.13924050632
11454,"Lake, IN",2013,21958778,112690.34523809524,3148687.252603568,112690.34523809524
