,County,Year,GDP (thousands)
12179,"Kane, IL",2001,"14,067,106"
12180,"Kane, IL",2002,"14,821,890"
12181,"Kane, IL",2003,"15,532,382"
12182,"Kane, IL",2004,"16,591,240"
12183,"Kane, IL",2005,"17,649,411"
12184,"Kane, IL",2006,"18,819,457"
12185,"Kane, IL",2007,"19,477,573"
12186,"Kane, IL",2008,"19,400,072"
12187,"Kane, IL",2009,"18,909,754"
12188,"Kane, IL",2010,"19,492,962"
12189,"Kane, IL",2011,"19,995,207"
12190,"Kane, IL",2012,"20,573,064"
12191,"Kane, IL",2013,"21,662,461"
12192,"Kane, IL",2014,"22,402,567"
12193,"Kane, IL",2015,"23,693,121"
12194,"Kane, IL",2016,"24,178,498"
12195,"Kane, IL",2017,"25,361,707"
12196,"Kane, IL",2018,"26,289,466"
12197,"Kane, IL",2019,"26,953,126"
12198,"Kankakee, IL",2001,"2,679,792"
12199,"Kankakee, IL",2002,"2,819,871"
12200,"Kankakee, IL",2003,"2,905,889"
12201,"Kankakee, IL",2004,"3,063,204"
12202,"Kankakee, IL",2005,"3,131,997"
12203,"Kankakee, IL",2006,"3,449,846"
12204,"Kankakee, IL",2007,"3,589,383"
12205,"Kankakee, IL",2008,"3,743,929"
12206,"Kankakee, IL",2009,"3,833,750"
12207,"Kankakee, IL",2010,"3,954,852"
12208,"Kankakee, IL",2011,"4,077,637"
12209,"Kankakee, IL",2012,"4,387,623"
12210,"Kankakee, IL",2013,"4,425,494"
12211,"Kankakee, IL",2014,"4,672,599"
12212,"Kankakee, IL",2015,"4,929,989"
12213,"Kankakee, IL",2016,"5,366,038"
12214,"Kankakee, IL",2017,"5,916,200"
12215,"Kankakee, IL",2018,"6,188,522"
12216,"Kankakee, IL",2019,"6,450,764"
12217,"Kendall, IL",2001,"1,299,454"
12218,"Kendall, IL",2002,"1,318,006"
12219,"Kendall, IL",2003,"1,390,299"
12220,"Kendall, IL",2004,"1,631,500"
12221,"Kendall, IL",2005,"1,956,261"
12222,"Kendall, IL",2006,"2,234,341"
12223,"Kendall, IL",2007,"2,449,057"
12224,"Kendall, IL",2008,"2,517,253"
12225,"Kendall, IL",2009,"2,405,000"
12226,"Kendall, IL",2010,"2,474,829"
12227,"Kendall, IL",2011,"2,556,126"
12228,"Kendall, IL",2012,"2,738,911"
12229,"Kendall, IL",2013,"2,714,019"
12230,"Kendall, IL",2014,"2,743,652"
12231,"Kendall, IL",2015,"3,054,350"
12232,"Kendall, IL",2016,"3,132,552"
12233,"Kendall, IL",2017,"3,257,853"
12234,"Kendall, IL",2018,"3,414,594"
12235,"Kendall, IL",2019,"3,509,617"
12236,"Knox, IL",2001,"1,436,593"
12237,"Knox, IL",2002,"1,495,050"
12238,"Knox, IL",2003,"1,533,590"
12239,"Knox, IL",2004,"1,560,864"
12240,"Knox, IL",2005,"1,501,663"
12241,"Knox, IL",2006,"1,614,695"
12242,"Knox, IL",2007,"1,681,800"
12243,"Knox, IL",2008,"1,780,960"
12244,"Knox, IL",2009,"1,736,703"
12245,"Knox, IL",2010,"1,816,235"
12246,"Knox, IL",2011,"1,929,186"
12247,"Knox, IL",2012,"1,922,792"
12248,"Knox, IL",2013,"2,030,494"
12249,"Knox, IL",2014,"2,066,238"
12250,"Knox, IL",2015,"1,906,901"
12251,"Knox, IL",2016,"1,922,629"
12252,"Knox, IL",2017,"1,887,306"
12253,"Knox, IL",2018,"1,926,474"
12254,"Knox, IL",2019,"1,975,008"
12255,"Lake, IL",2001,"32,404,841"
12256,"Lake, IL",2002,"33,805,358"
12257,"Lake, IL",2003,"35,480,112"
12258,"Lake, IL",2004,"38,084,284"
12259,"Lake, IL",2005,"39,959,198"
12260,"Lake, IL",2006,"43,503,906"
12261,"Lake, IL",2007,"45,862,690"
12262,"Lake, IL",2008,"44,825,641"
12263,"Lake, IL",2009,"45,395,959"
12264,"Lake, IL",2010,"47,647,326"
12265,"Lake, IL",2011,"48,200,816"
12266,"Lake, IL",2012,"51,898,699"
12267,"Lake, IL",2013,"51,334,424"
12268,"Lake, IL",2014,"53,581,154"
12269,"Lake, IL",2015,"57,152,028"
12270,"Lake, IL",2016,"57,136,470"
12271,"Lake, IL",2017,"57,657,774"
12272,"Lake, IL",2018,"60,477,840"
12273,"Lake, IL",2019,"61,745,947"
12274,"LaSalle, IL",2001,"3,684,330"
12275,"LaSalle, IL",2002,"3,674,418"
12276,"LaSalle, IL",2003,"3,812,437"
12277,"LaSalle, IL",2004,"4,078,026"
12278,"LaSalle, IL",2005,"4,137,101"
12279,"LaSalle, IL",2006,"4,506,762"
12280,"LaSalle, IL",2007,"4,648,656"
12281,"LaSalle, IL",2008,"4,755,037"
12282,"LaSalle, IL",2009,"4,808,977"
12283,"LaSalle, IL",2010,"5,120,908"
12284,"LaSalle, IL",2011,"5,353,427"
12285,"LaSalle, IL",2012,"5,330,465"
12286,"LaSalle, IL",2013,"5,485,780"
12287,"LaSalle, IL",2014,"5,601,582"
12288,"LaSalle, IL",2015,"5,602,642"
12289,"LaSalle, IL",2016,"5,797,074"
12290,"LaSalle, IL",2017,"5,980,843"
12291,"LaSalle, IL",2018,"6,219,107"
12292,"LaSalle, IL",2019,"6,256,688"
12293,"Lawrence, IL",2001,"296,328"
12294,"Lawrence, IL",2002,"307,781"
12295,"Lawrence, IL",2003,"310,965"
12296,"Lawrence, IL",2004,"371,008"
12297,"Lawrence, IL",2005,"349,829"
12298,"Lawrence, IL",2006,"396,637"
12299,"Lawrence, IL",2007,"420,084"
12300,"Lawrence, IL",2008,"446,811"
12301,"Lawrence, IL",2009,"439,021"
12302,"Lawrence, IL",2010,"456,353"
12303,"Lawrence, IL",2011,"517,522"
12304,"Lawrence, IL",2012,"511,484"
12305,"Lawrence, IL",2013,"515,751"
12306,"Lawrence, IL",2014,"552,502"
12307,"Lawrence, IL",2015,"539,278"
12308,"Lawrence, IL",2016,"521,300"
12309,"Lawrence, IL",2017,"529,334"
12310,"Lawrence, IL",2018,"578,054"
12311,"Lawrence, IL",2019,"569,448"
12312,"Lee, IL",2001,"878,080"
12313,"Lee, IL",2002,"928,494"
12314,"Lee, IL",2003,"959,330"
12315,"Lee, IL",2004,"1,036,933"
12316,"Lee, IL",2005,"1,036,880"
12317,"Lee, IL",2006,"1,088,946"
12318,"Lee, IL",2007,"1,246,752"
12319,"Lee, IL",2008,"1,154,645"
12320,"Lee, IL",2009,"1,123,006"
12321,"Lee, IL",2010,"1,155,454"
12322,"Lee, IL",2011,"1,303,060"
12323,"Lee, IL",2012,"1,306,805"
12324,"Lee, IL",2013,"1,497,330"
12325,"Lee, IL",2014,"1,525,628"
12326,"Lee, IL",2015,"1,451,044"
12327,"Lee, IL",2016,"1,502,541"
12328,"Lee, IL",2017,"1,617,762"
12329,"Lee, IL",2018,"1,707,369"
12330,"Lee, IL",2019,"1,789,172"
12331,"Livingston, IL",2001,"1,129,387"
12332,"Livingston, IL",2002,"1,207,091"
12333,"Livingston, IL",2003,"1,267,703"
12334,"Livingston, IL",2004,"1,385,020"
12335,"Livingston, IL",2005,"1,387,567"
12336,"Livingston, IL",2006,"1,449,195"
12337,"Livingston, IL",2007,"1,586,062"
12338,"Livingston, IL",2008,"1,660,906"
12339,"Livingston, IL",2009,"1,507,150"
12340,"Livingston, IL",2010,"1,607,587"
12341,"Livingston, IL",2011,"1,697,611"
12342,"Livingston, IL",2012,"1,728,021"
12343,"Livingston, IL",2013,"1,868,314"
12344,"Livingston, IL",2014,"1,819,967"
12345,"Livingston, IL",2015,"1,695,929"
12346,"Livingston, IL",2016,"1,874,819"
12347,"Livingston, IL",2017,"1,852,964"
12348,"Livingston, IL",2018,"1,923,203"
12349,"Livingston, IL",2019,"2,027,843"
12350,"Logan, IL",2001,"650,430"
12351,"Logan, IL",2002,"682,468"
12352,"Logan, IL",2003,"699,238"
12353,"Logan, IL",2004,"730,557"
12354,"Logan, IL",2005,"700,766"
12355,"Logan, IL",2006,"796,025"
12356,"Logan, IL",2007,"921,940"
12357,"Logan, IL",2008,"966,152"
12358,"Logan, IL",2009,"970,455"
12359,"Logan, IL",2010,"970,668"
12360,"Logan, IL",2011,"1,038,710"
12361,"Logan, IL",2012,"944,540"
12362,"Logan, IL",2013,"1,115,046"
12363,"Logan, IL",2014,"1,048,293"
12364,"Logan, IL",2015,"968,873"
12365,"Logan, IL",2016,"1,061,700"
12366,"Logan, IL",2017,"1,061,271"
12367,"Logan, IL",2018,"1,092,613"
12368,"Logan, IL",2019,"1,125,404"
12369,"McDonough, IL",2001,"786,146"
12370,"McDonough, IL",2002,"841,079"
12371,"McDonough, IL",2003,"854,347"
12372,"McDonough, IL",2004,"879,559"
12373,"McDonough, IL",2005,"893,991"
12374,"McDonough, IL",2006,"994,695"
12375,"McDonough, IL",2007,"1,065,143"
12376,"McDonough, IL",2008,"1,137,950"
12377,"McDonough, IL",2009,"1,171,989"
12378,"McDonough, IL",2010,"1,195,282"
12379,"McDonough, IL",2011,"1,248,665"
12380,"McDonough, IL",2012,"1,263,680"
12381,"McDonough, IL",2013,"1,332,038"
12382,"McDonough, IL",2014,"1,329,727"
12383,"McDonough, IL",2015,"1,259,182"
12384,"McDonough, IL",2016,"1,249,856"
12385,"McDonough, IL",2017,"1,226,791"
12386,"McDonough, IL",2018,"1,257,364"
12387,"McDonough, IL",2019,"1,262,588"
12388,"McHenry, IL",2001,"6,624,312"
12389,"McHenry, IL",2002,"7,078,799"
12390,"McHenry, IL",2003,"7,456,645"
12391,"McHenry, IL",2004,"8,066,234"
12392,"McHenry, IL",2005,"8,438,233"
12393,"McHenry, IL",2006,"9,204,053"
12394,"McHenry, IL",2007,"9,574,431"
12395,"McHenry, IL",2008,"9,508,069"
12396,"McHenry, IL",2009,"9,175,816"
12397,"McHenry, IL",2010,"9,401,361"
12398,"McHenry, IL",2011,"9,673,618"
12399,"McHenry, IL",2012,"10,180,268"
12400,"McHenry, IL",2013,"10,265,968"
12401,"McHenry, IL",2014,"10,647,586"
12402,"McHenry, IL",2015,"10,997,677"
12403,"McHenry, IL",2016,"11,035,549"
12404,"McHenry, IL",2017,"11,246,458"
12405,"McHenry, IL",2018,"11,547,916"
12406,"McHenry, IL",2019,"11,748,970"
12407,"McLean, IL",2001,"6,874,185"
12408,"McLean, IL",2002,"7,156,245"
12409,"McLean, IL",2003,"7,550,645"
12410,"McLean, IL",2004,"8,149,645"
12411,"McLean, IL",2005,"8,408,283"
12412,"McLean, IL",2006,"9,366,519"
12413,"McLean, IL",2007,"9,702,976"
12414,"McLean, IL",2008,"9,404,824"
12415,"McLean, IL",2009,"9,680,465"
12416,"McLean, IL",2010,"10,125,712"
12417,"McLean, IL",2011,"10,344,962"
12418,"McLean, IL",2012,"10,781,922"
12419,"McLean, IL",2013,"10,894,563"
12420,"McLean, IL",2014,"12,406,870"
12421,"McLean, IL",2015,"13,579,971"
12422,"McLean, IL",2016,"14,215,189"
12423,"McLean, IL",2017,"14,266,863"
12424,"McLean, IL",2018,"15,313,534"
12425,"McLean, IL",2019,"15,348,042"
12426,"Macon, IL",2001,"4,365,268"
12427,"Macon, IL",2002,"4,479,482"
12428,"Macon, IL",2003,"4,573,750"
12429,"Macon, IL",2004,"4,787,945"
12430,"Macon, IL",2005,"4,979,892"
12431,"Macon, IL",2006,"5,255,930"
12432,"Macon, IL",2007,"5,567,704"
12433,"Macon, IL",2008,"6,102,783"
12434,"Macon, IL",2009,"6,442,432"
12435,"Macon, IL",2010,"6,552,370"
12436,"Macon, IL",2011,"6,597,610"
12437,"Macon, IL",2012,"6,578,471"
12438,"Macon, IL",2013,"7,094,515"
12439,"Macon, IL",2014,"7,570,371"
12440,"Macon, IL",2015,"8,093,539"
12441,"Macon, IL",2016,"7,774,856"
12442,"Macon, IL",2017,"7,253,739"
12443,"Macon, IL",2018,"7,279,712"
12444,"Macon, IL",2019,"7,363,464"
12445,"Macoupin, IL",2001,"819,499"
12446,"Macoupin, IL",2002,"872,458"
12447,"Macoupin, IL",2003,"953,473"
12448,"Macoupin, IL",2004,"999,786"
12449,"Macoupin, IL",2005,"985,860"
12450,"Macoupin, IL",2006,"1,099,612"
12451,"Macoupin, IL",2007,"1,161,974"
12452,"Macoupin, IL",2008,"1,106,328"
12453,"Macoupin, IL",2009,"1,113,884"
12454,"Macoupin, IL",2010,"1,148,002"
12455,"Macoupin, IL",2011,"1,176,436"
12456,"Macoupin, IL",2012,"1,118,497"
12457,"Macoupin, IL",2013,"1,255,100"
12458,"Macoupin, IL",2014,"1,182,762"
12459,"Macoupin, IL",2015,"1,283,437"
12460,"Macoupin, IL",2016,"1,245,450"
12461,"Macoupin, IL",2017,"1,283,311"
12462,"Macoupin, IL",2018,"1,381,332"
12463,"Macoupin, IL",2019,"1,398,881"
12464,"Madison, IL",2001,"7,703,650"
12465,"Madison, IL",2002,"7,296,682"
12466,"Madison, IL",2003,"7,949,160"
12467,"Madison, IL",2004,"8,575,223"
12468,"Madison, IL",2005,"8,919,278"
12469,"Madison, IL",2006,"9,016,612"
12470,"Madison, IL",2007,"9,542,006"
12471,"Madison, IL",2008,"9,791,714"
12472,"Madison, IL",2009,"9,750,851"
12473,"Madison, IL",2010,"9,592,023"
12474,"Madison, IL",2011,"11,353,169"
12475,"Madison, IL",2012,"11,174,892"
12476,"Madison, IL",2013,"10,796,496"
12477,"Madison, IL",2014,"11,203,807"
12478,"Madison, IL",2015,"11,032,196"
12479,"Madison, IL",2016,"10,441,287"
12480,"Madison, IL",2017,"11,538,307"
12481,"Madison, IL",2018,"12,636,150"
12482,"Madison, IL",2019,"13,066,955"
12483,"Marion, IL",2001,"965,905"
12484,"Marion, IL",2002,"978,225"
12485,"Marion, IL",2003,"997,701"
12486,"Marion, IL",2004,"1,032,808"
12487,"Marion, IL",2005,"1,048,361"
12488,"Marion, IL",2006,"1,183,600"
12489,"Marion, IL",2007,"1,199,563"
12490,"Marion, IL",2008,"1,221,265"
12491,"Marion, IL",2009,"1,157,427"
12492,"Marion, IL",2010,"1,232,640"
12493,"Marion, IL",2011,"1,322,151"
12494,"Marion, IL",2012,"1,332,091"
12495,"Marion, IL",2013,"1,321,609"
12496,"Marion, IL",2014,"1,302,165"
12497,"Marion, IL",2015,"1,347,308"
12498,"Marion, IL",2016,"1,332,444"
12499,"Marion, IL",2017,"1,398,248"
12500,"Marion, IL",2018,"1,474,467"
12501,"Marion, IL",2019,"1,518,440"
12502,"Marshall, IL",2001,"260,324"
12503,"Marshall, IL",2002,"281,702"
12504,"Marshall, IL",2003,"294,370"
12505,"Marshall, IL",2004,"316,781"
12506,"Marshall, IL",2005,"318,076"
12507,"Marshall, IL",2006,"360,588"
12508,"Marshall, IL",2007,"419,601"
12509,"Marshall, IL",2008,"426,009"
12510,"Marshall, IL",2009,"404,326"
12511,"Marshall, IL",2010,"413,961"
12512,"Marshall, IL",2011,"457,156"
12513,"Marshall, IL",2012,"456,450"
12514,"Marshall, IL",2013,"453,944"
12515,"Marshall, IL",2014,"432,798"
12516,"Marshall, IL",2015,"372,143"
12517,"Marshall, IL",2016,"449,951"
12518,"Marshall, IL",2017,"414,034"
12519,"Marshall, IL",2018,"422,309"
12520,"Marshall, IL",2019,"421,786"
12521,"Mason, IL",2001,"345,024"
12522,"Mason, IL",2002,"368,213"
12523,"Mason, IL",2003,"360,769"
12524,"Mason, IL",2004,"383,514"
12525,"Mason, IL",2005,"378,567"
12526,"Mason, IL",2006,"418,289"
12527,"Mason, IL",2007,"490,476"
12528,"Mason, IL",2008,"514,384"
12529,"Mason, IL",2009,"510,496"
12530,"Mason, IL",2010,"546,772"
12531,"Mason, IL",2011,"582,675"
12532,"Mason, IL",2012,"554,953"
12533,"Mason, IL",2013,"622,126"
12534,"Mason, IL",2014,"610,182"
12535,"Mason, IL",2015,"485,731"
12536,"Mason, IL",2016,"542,513"
12537,"Mason, IL",2017,"582,164"
12538,"Mason, IL",2018,"593,456"
12539,"Mason, IL",2019,"560,781"
12540,"Massac, IL",2001,"679,398"
12541,"Massac, IL",2002,"653,731"
12542,"Massac, IL",2003,"675,198"
12543,"Massac, IL",2004,"731,019"
12544,"Massac, IL",2005,"731,517"
12545,"Massac, IL",2006,"798,107"
12546,"Massac, IL",2007,"771,604"
12547,"Massac, IL",2008,"796,147"
12548,"Massac, IL",2009,"784,613"
12549,"Massac, IL",2010,"861,983"
12550,"Massac, IL",2011,"874,250"
12551,"Massac, IL",2012,"796,170"
12552,"Massac, IL",2013,"786,169"
12553,"Massac, IL",2014,"856,132"
12554,"Massac, IL",2015,"758,390"
12555,"Massac, IL",2016,"677,998"
12556,"Massac, IL",2017,"636,280"
12557,"Massac, IL",2018,"677,407"
12558,"Massac, IL",2019,"690,145"
12559,"Menard, IL",2001,"165,978"
12560,"Menard, IL",2002,"177,883"
12561,"Menard, IL",2003,"204,206"
12562,"Menard, IL",2004,"215,209"
12563,"Menard, IL",2005,"194,023"
12564,"Menard, IL",2006,"226,203"
12565,"Menard, IL",2007,"258,863"
12566,"Menard, IL",2008,"276,220"
12567,"Menard, IL",2009,"277,762"
12568,"Menard, IL",2010,"274,038"
12569,"Menard, IL",2011,"285,002"
12570,"Menard, IL",2012,"265,615"
12571,"Menard, IL",2013,"299,258"
12572,"Menard, IL",2014,"271,711"
12573,"Menard, IL",2015,"243,318"
12574,"Menard, IL",2016,"246,108"
12575,"Menard, IL",2017,"263,096"
12576,"Menard, IL",2018,"271,611"
12577,"Menard, IL",2019,"269,932"
12578,"Mercer, IL",2001,"217,771"
12579,"Mercer, IL",2002,"230,702"
12580,"Mercer, IL",2003,"276,659"
12581,"Mercer, IL",2004,"287,383"
12582,"Mercer, IL",2005,"271,122"
12583,"Mercer, IL",2006,"316,703"
12584,"Mercer, IL",2007,"351,664"
12585,"Mercer, IL",2008,"387,910"
12586,"Mercer, IL",2009,"370,511"
12587,"Mercer, IL",2010,"373,129"
12588,"Mercer, IL",2011,"432,477"
12589,"Mercer, IL",2012,"439,700"
12590,"Mercer, IL",2013,"488,682"
12591,"Mercer, IL",2014,"501,275"
12592,"Mercer, IL",2015,"381,585"
12593,"Mercer, IL",2016,"418,528"
12594,"Mercer, IL",2017,"432,556"
12595,"Mercer, IL",2018,"444,376"
12596,"Mercer, IL",2019,"456,739"
12597,"Monroe, IL",2001,"466,908"
12598,"Monroe, IL",2002,"498,395"
12599,"Monroe, IL",2003,"534,449"
12600,"Monroe, IL",2004,"619,500"
12601,"Monroe, IL",2005,"653,428"
12602,"Monroe, IL",2006,"710,283"
12603,"Monroe, IL",2007,"714,287"
12604,"Monroe, IL",2008,"750,373"
12605,"Monroe, IL",2009,"740,026"
12606,"Monroe, IL",2010,"818,775"
12607,"Monroe, IL",2011,"799,355"
12608,"Monroe, IL",2012,"817,007"
12609,"Monroe, IL",2013,"889,842"
12610,"Monroe, IL",2014,"894,876"
12611,"Monroe, IL",2015,"928,074"
12612,"Monroe, IL",2016,"938,411"
12613,"Monroe, IL",2017,"958,485"
12614,"Monroe, IL",2018,"979,604"
12615,"Monroe, IL",2019,"1,008,411"
12616,"Montgomery, IL",2001,"833,164"
12617,"Montgomery, IL",2002,"872,642"
12618,"Montgomery, IL",2003,"900,138"
12619,"Montgomery, IL",2004,"993,451"
12620,"Montgomery, IL",2005,"909,211"
12621,"Montgomery, IL",2006,"1,061,145"
12622,"Montgomery, IL",2007,"1,091,539"
12623,"Montgomery, IL",2008,"1,110,056"
12624,"Montgomery, IL",2009,"1,090,192"
12625,"Montgomery, IL",2010,"1,199,563"
12626,"Montgomery, IL",2011,"1,273,950"
12627,"Montgomery, IL",2012,"1,255,306"
12628,"Montgomery, IL",2013,"1,388,372"
12629,"Montgomery, IL",2014,"1,309,772"
12630,"Montgomery, IL",2015,"1,201,877"
12631,"Montgomery, IL",2016,"1,187,148"
12632,"Montgomery, IL",2017,"1,315,111"
12633,"Montgomery, IL",2018,"1,351,324"
12634,"Montgomery, IL",2019,"1,227,132"
12635,"Morgan, IL",2001,"1,076,769"
12636,"Morgan, IL",2002,"1,038,827"
12637,"Morgan, IL",2003,"1,105,644"
12638,"Morgan, IL",2004,"1,140,167"
12639,"Morgan, IL",2005,"1,106,763"
12640,"Morgan, IL",2006,"1,198,994"
12641,"Morgan, IL",2007,"1,280,120"
12642,"Morgan, IL",2008,"1,358,138"
12643,"Morgan, IL",2009,"1,376,210"
12644,"Morgan, IL",2010,"1,407,223"
12645,"Morgan, IL",2011,"1,402,719"
12646,"Morgan, IL",2012,"1,475,876"
12647,"Morgan, IL",2013,"1,548,196"
12648,"Morgan, IL",2014,"1,521,158"
12649,"Morgan, IL",2015,"1,481,130"
12650,"Morgan, IL",2016,"1,519,160"
12651,"Morgan, IL",2017,"1,575,113"
12652,"Morgan, IL",2018,"1,650,512"
12653,"Morgan, IL",2019,"1,709,896"
12654,"Moultrie, IL",2001,"317,663"
12655,"Moultrie, IL",2002,"351,964"
12656,"Moultrie, IL",2003,"378,486"
12657,"Moultrie, IL",2004,"433,880"
12658,"Moultrie, IL",2005,"427,594"
12659,"Moultrie, IL",2006,"492,025"
12660,"Moultrie, IL",2007,"514,005"
12661,"Moultrie, IL",2008,"492,271"
12662,"Moultrie, IL",2009,"487,282"
12663,"Moultrie, IL",2010,"528,600"
12664,"Moultrie, IL",2011,"665,504"
12665,"Moultrie, IL",2012,"756,608"
12666,"Moultrie, IL",2013,"787,756"
12667,"Moultrie, IL",2014,"760,501"
12668,"Moultrie, IL",2015,"619,707"
12669,"Moultrie, IL",2016,"611,406"
12670,"Moultrie, IL",2017,"717,492"
12671,"Moultrie, IL",2018,"828,319"
12672,"Moultrie, IL",2019,"832,294"
12673,"Ogle, IL",2001,"1,942,996"
12674,"Ogle, IL",2002,"1,862,473"
12675,"Ogle, IL",2003,"2,012,217"
12676,"Ogle, IL",2004,"2,160,553"
12677,"Ogle, IL",2005,"2,155,277"
12678,"Ogle, IL",2006,"2,427,143"
12679,"Ogle, IL",2007,"2,577,317"
12680,"Ogle, IL",2008,"2,585,623"
12681,"Ogle, IL",2009,"2,516,470"
12682,"Ogle, IL",2010,"2,593,472"
12683,"Ogle, IL",2011,"2,685,068"
12684,"Ogle, IL",2012,"2,600,814"
12685,"Ogle, IL",2013,"2,778,533"
12686,"Ogle, IL",2014,"2,858,104"
12687,"Ogle, IL",2015,"2,899,737"
12688,"Ogle, IL",2016,"2,859,073"
12689,"Ogle, IL",2017,"2,821,995"
12690,"Ogle, IL",2018,"2,845,645"
12691,"Ogle, IL",2019,"2,960,444"
12692,"Peoria, IL",2001,"6,992,967"
12693,"Peoria, IL",2002,"7,139,688"
12694,"Peoria, IL",2003,"7,442,167"
12695,"Peoria, IL",2004,"8,216,114"
12696,"Peoria, IL",2005,"8,647,918"
12697,"Peoria, IL",2006,"9,262,540"
12698,"Peoria, IL",2007,"9,678,926"
12699,"Peoria, IL",2008,"10,070,622"
12700,"Peoria, IL",2009,"9,937,623"
12701,"Peoria, IL",2010,"10,263,594"
12702,"Peoria, IL",2011,"11,110,225"
12703,"Peoria, IL",2012,"11,754,960"
12704,"Peoria, IL",2013,"11,351,533"
12705,"Peoria, IL",2014,"11,614,309"
12706,"Peoria, IL",2015,"12,006,402"
12707,"Peoria, IL",2016,"12,037,065"
12708,"Peoria, IL",2017,"12,791,717"
12709,"Peoria, IL",2018,"13,930,419"
12710,"Peoria, IL",2019,"14,099,113"
12711,"Perry, IL",2001,"392,557"
12712,"Perry, IL",2002,"410,205"
12713,"Perry, IL",2003,"429,250"
12714,"Perry, IL",2004,"445,813"
12715,"Perry, IL",2005,"462,488"
12716,"Perry, IL",2006,"503,645"
12717,"Perry, IL",2007,"517,672"
12718,"Perry, IL",2008,"515,680"
12719,"Perry, IL",2009,"559,896"
12720,"Perry, IL",2010,"593,315"
12721,"Perry, IL",2011,"641,305"
12722,"Perry, IL",2012,"654,808"
12723,"Perry, IL",2013,"642,541"
12724,"Perry, IL",2014,"615,468"
12725,"Perry, IL",2015,"630,264"
12726,"Perry, IL",2016,"598,869"
12727,"Perry, IL",2017,"616,738"
12728,"Perry, IL",2018,"673,478"
12729,"Perry, IL",2019,"676,655"
12730,"Piatt, IL",2001,"283,994"
12731,"Piatt, IL",2002,"299,105"
12732,"Piatt, IL",2003,"294,604"
12733,"Piatt, IL",2004,"315,286"
12734,"Piatt, IL",2005,"293,014"
12735,"Piatt, IL",2006,"363,442"
12736,"Piatt, IL",2007,"411,638"
12737,"Piatt, IL",2008,"438,844"
12738,"Piatt, IL",2009,"444,764"
12739,"Piatt, IL",2010,"476,546"
12740,"Piatt, IL",2011,"518,865"
12741,"Piatt, IL",2012,"500,887"
12742,"Piatt, IL",2013,"566,706"
12743,"Piatt, IL",2014,"527,850"
12744,"Piatt, IL",2015,"446,325"
12745,"Piatt, IL",2016,"535,995"
12746,"Piatt, IL",2017,"537,332"
12747,"Piatt, IL",2018,"562,419"
12748,"Piatt, IL",2019,"557,519"
12749,"Pike, IL",2001,"289,857"
12750,"Pike, IL",2002,"297,340"
12751,"Pike, IL",2003,"326,706"
12752,"Pike, IL",2004,"362,113"
12753,"Pike, IL",2005,"342,591"
12754,"Pike, IL",2006,"397,790"
12755,"Pike, IL",2007,"427,817"
12756,"Pike, IL",2008,"411,229"
12757,"Pike, IL",2009,"412,627"
12758,"Pike, IL",2010,"480,281"
12759,"Pike, IL",2011,"508,384"
12760,"Pike, IL",2012,"508,814"
12761,"Pike, IL",2013,"603,206"
12762,"Pike, IL",2014,"597,630"
12763,"Pike, IL",2015,"473,269"
12764,"Pike, IL",2016,"557,641"
12765,"Pike, IL",2017,"559,081"
12766,"Pike, IL",2018,"582,025"
12767,"Pike, IL",2019,"606,257"
12768,"Pope, IL",2001,"47,185"
12769,"Pope, IL",2002,"51,368"
12770,"Pope, IL",2003,"59,251"
12771,"Pope, IL",2004,"60,521"
12772,"Pope, IL",2005,"101,089"
12773,"Pope, IL",2006,"70,638"
12774,"Pope, IL",2007,"105,897"
12775,"Pope, IL",2008,"110,499"
12776,"Pope, IL",2009,"94,170"
12777,"Pope, IL",2010,"112,614"
12778,"Pope, IL",2011,"123,513"
12779,"Pope, IL",2012,"126,953"
12780,"Pope, IL",2013,"76,097"
12781,"Pope, IL",2014,"71,270"
12782,"Pope, IL",2015,"74,954"
12783,"Pope, IL",2016,"68,095"
12784,"Pope, IL",2017,"71,796"
12785,"Pope, IL",2018,"69,937"
12786,"Pope, IL",2019,"73,302"
12787,"Pulaski, IL",2001,"117,546"
12788,"Pulaski, IL",2002,"129,693"
12789,"Pulaski, IL",2003,"142,757"
12790,"Pulaski, IL",2004,"149,989"
12791,"Pulaski, IL",2005,"151,463"
12792,"Pulaski, IL",2006,"178,251"
12793,"Pulaski, IL",2007,"181,619"
12794,"Pulaski, IL",2008,"199,104"
12795,"Pulaski, IL",2009,"190,334"
12796,"Pulaski, IL",2010,"201,301"
12797,"Pulaski, IL",2011,"208,696"
12798,"Pulaski, IL",2012,"198,803"
12799,"Pulaski, IL",2013,"207,095"
12800,"Pulaski, IL",2014,"249,341"
12801,"Pulaski, IL",2015,"253,534"
12802,"Pulaski, IL",2016,"271,007"
12803,"Pulaski, IL",2017,"245,080"
12804,"Pulaski, IL",2018,"230,594"
12805,"Pulaski, IL",2019,"233,736"
12806,"Putnam, IL",2001,"183,859"
12807,"Putnam, IL",2002,"193,789"
12808,"Putnam, IL",2003,"185,821"
12809,"Putnam, IL",2004,"297,801"
12810,"Putnam, IL",2005,"330,952"
12811,"Putnam, IL",2006,"295,270"
12812,"Putnam, IL",2007,"278,875"
12813,"Putnam, IL",2008,"284,368"
12814,"Putnam, IL",2009,"279,704"
12815,"Putnam, IL",2010,"331,669"
12816,"Putnam, IL",2011,"370,874"
12817,"Putnam, IL",2012,"381,841"
12818,"Putnam, IL",2013,"327,170"
